trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
167,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
168,low,1.110223024625156e-15,0.723,-0.3243460568233724,3.9499999999999993,5,11
169,high,0.6931471805599454,0.038,-3.270169119255751,4.45,5,11
170,low,1.110223024625156e-15,0.74,-0.3011050927839216,3.9499999999999993,5,11
171,high,0.6931471805599454,0.056,-2.8824035882469876,4.45,5,11
172,low,1.110223024625156e-15,0.759,-0.27575350158650713,3.9499999999999993,5,11
173,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
174,low,1.110223024625156e-15,0.773,-0.25747623039471507,3.9499999999999993,5,11
175,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
176,low,1.110223024625156e-15,0.721,-0.327116141697188,3.9499999999999993,5,11
177,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
178,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
179,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
180,low,1.110223024625156e-15,0.748,-0.2903523010076598,3.9499999999999993,5,11
181,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
182,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
183,high,0.6931471805599454,0.035,-3.3524072174927233,4.45,5,11
184,low,1.110223024625156e-15,0.757,-0.2783920255446883,3.9499999999999993,5,11
185,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
186,low,1.110223024625156e-15,0.756,-0.27971390280260405,3.9499999999999993,5,11
187,high,0.6931471805599454,0.056,-2.8824035882469876,4.45,5,11
188,low,1.110223024625156e-15,0.76,-0.2744368457017603,3.9499999999999993,5,11
189,high,0.6931471805599454,0.062,-2.7806208939370456,4.45,5,11
190,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
191,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
192,low,1.110223024625156e-15,0.73,-0.31471074483970024,3.9499999999999993,5,11
193,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
194,low,1.110223024625156e-15,0.753,-0.2836900511822435,3.9499999999999993,5,11
195,high,0.6931471805599454,0.035,-3.3524072174927233,4.45,5,11
196,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
197,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
198,low,1.110223024625156e-15,0.748,-0.2903523010076598,3.9499999999999993,5,11
199,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
200,low,1.110223024625156e-15,0.755,-0.28103752973311236,3.9499999999999993,5,11
201,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
202,low,1.110223024625156e-15,0.761,-0.2731219211204512,3.9499999999999993,5,11
203,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
204,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
205,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
206,low,1.110223024625156e-15,0.76,-0.2744368457017603,3.9499999999999993,5,11
207,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
208,low,1.110223024625156e-15,0.724,-0.3229638865964207,3.9499999999999993,5,11
209,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
210,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
211,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
212,low,1.110223024625156e-15,0.75,-0.2876820724517809,3.9499999999999993,5,11
213,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
214,low,1.110223024625156e-15,0.759,-0.27575350158650713,3.9499999999999993,5,11
215,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
216,low,1.110223024625156e-15,0.738,-0.30381145438166457,3.9499999999999993,5,11
217,high,0.6931471805599454,0.033,-3.4112477175156566,4.45,5,11
218,low,1.110223024625156e-15,0.729,-0.31608154697347896,3.9499999999999993,5,11
219,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
220,low,1.110223024625156e-15,0.745,-0.29437106060257756,3.9499999999999993,5,11
221,high,0.6931471805599454,0.038,-3.270169119255751,4.45,5,11
222,low,1.110223024625156e-15,0.764,-0.2691874898156165,3.9499999999999993,5,11
223,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
224,low,1.110223024625156e-15,0.741,-0.2997546536860502,3.9499999999999993,5,11
225,high,0.6931471805599454,0.053,-2.9374633654300153,4.45,5,11
226,low,1.110223024625156e-15,0.749,-0.2890162954649176,3.9499999999999993,5,11
227,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
228,low,1.110223024625156e-15,0.76,-0.2744368457017603,3.9499999999999993,5,11
229,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
230,low,1.110223024625156e-15,0.758,-0.2770718933397654,3.9499999999999993,5,11
231,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
232,low,1.110223024625156e-15,0.761,-0.2731219211204512,3.9499999999999993,5,11
233,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
234,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
235,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
236,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
237,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
238,low,1.110223024625156e-15,0.772,-0.25877072895736086,3.9499999999999993,5,11
239,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
240,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
241,high,0.6931471805599454,0.037,-3.2968373663379125,4.45,5,11
242,low,1.110223024625156e-15,0.731,-0.3133418192323586,3.9499999999999993,5,11
243,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
244,low,1.110223024625156e-15,0.726,-0.320205264157341,3.9499999999999993,5,11
245,high,0.6931471805599454,0.028,-3.575550768806933,4.45,5,11
246,low,1.110223024625156e-15,0.77,-0.2613647641344075,3.9499999999999993,5,11
247,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
248,low,1.110223024625156e-15,0.715,-0.33547273628812946,3.9499999999999993,5,11
249,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
250,low,1.110223024625156e-15,0.761,-0.2731219211204512,3.9499999999999993,5,11
251,high,0.6931471805599454,0.038,-3.270169119255751,4.45,5,11
252,low,1.110223024625156e-15,0.766,-0.26657310924154576,3.9499999999999993,5,11
253,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
254,low,1.110223024625156e-15,0.742,-0.2984060358147566,3.9499999999999993,5,11
255,high,0.6931471805599454,0.033,-3.4112477175156566,4.45,5,11
256,low,1.110223024625156e-15,0.765,-0.2678794451556012,3.9499999999999993,5,11
257,high,0.6931471805599454,0.057,-2.864704011147587,4.45,5,11
258,low,1.110223024625156e-15,0.739,-0.3024573580339353,3.9499999999999993,5,11
259,high,0.6931471805599454,0.037,-3.2968373663379125,4.45,5,11
260,low,1.110223024625156e-15,0.74,-0.3011050927839216,3.9499999999999993,5,11
261,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
262,low,1.110223024625156e-15,0.754,-0.282362910974181,3.9499999999999993,5,11
263,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
264,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
265,high,0.6931471805599454,0.038,-3.270169119255751,4.45,5,11
266,low,1.110223024625156e-15,0.767,-0.26526847761488087,3.9499999999999993,5,11
267,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
268,low,1.110223024625156e-15,0.756,-0.27971390280260405,3.9499999999999993,5,11
269,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
270,low,1.110223024625156e-15,0.738,-0.30381145438166457,3.9499999999999993,5,11
271,high,0.6931471805599454,0.045,-3.101092789211817,4.45,5,11
272,low,1.110223024625156e-15,0.767,-0.26526847761488087,3.9499999999999993,5,11
273,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
274,low,1.110223024625156e-15,0.74,-0.3011050927839216,3.9499999999999993,5,11
275,high,0.6931471805599454,0.051,-2.9759296462578115,4.45,5,11
276,low,1.110223024625156e-15,0.76,-0.2744368457017603,3.9499999999999993,5,11
277,high,0.6931471805599454,0.041,-3.1941832122778293,4.45,5,11
