T_us,p_error_observed,p_error_qm_predicted,residual,residual_percent,shots
1.0,0.1104,0.09524754830356341,0.015152451696436586,1.5152451696436586,2500
1.4677992676220704,0.1016,0.09634655867512659,0.0052534413248734035,0.5253441324873404,2500
2.154434690031882,0.1112,0.09795529106163275,0.013244708938367239,1.324470893836724,2500
3.162277660168379,0.108,0.10030715238145893,0.007692847618541068,0.7692847618541068,2500
4.641588833612782,0.1064,0.10373898717798247,0.0026610128220175278,0.2661012822017528,2500
6.812920690579609,0.1096,0.10873297567500612,0.0008670243249938869,0.08670243249938869,2500
10.0,0.1344,0.11597095369341648,0.018429046306583513,1.8429046306583512,2500
14.677992676220676,0.13,0.12639933796348463,0.0036006620365153785,0.36006620365153785,2500
21.544346900318825,0.1432,0.14129453854872576,0.0019054614512742374,0.19054614512742374,2500
31.622776601683796,0.1604,0.162300627470646,-0.0019006274706460102,-0.19006274706460102,2500
46.41588833612772,0.2,0.19137661618940272,0.008623383810597296,0.8623383810597296,2500
68.12920690579608,0.242,0.23053619582173257,0.011463804178267423,1.1463804178267423,2500
100.0,0.2928,0.2812041271773875,0.011595872822612485,1.1595872822612485,2500
133.33333333333334,0.3472,0.3266339382334284,0.02056606176657161,2.056606176657161,2500
166.66666666666669,0.3944,0.36544212318230684,0.02895787681769313,2.895787681769313,2500
200.0,0.4336,0.3985938177198102,0.03500618228018981,3.5006182280189813,2500
233.33333333333334,0.454,0.4269134841034782,0.027086515896521834,2.7086515896521837,2500
266.6666666666667,0.4676,0.4511054150219711,0.016494584978028914,1.6494584978028914,2500
300.0,0.4936,0.4717712489211532,0.021828751078846798,2.18287510788468,2500
333.3333333333333,0.4908,0.48942493238228246,0.0013750676177175514,0.13750676177175514,2500
366.6666666666667,0.4776,0.5045055016574516,-0.026905501657451536,-2.6905501657451536,2500
400.0,0.482,0.5173880012312047,-0.03538800123120467,-3.538800123120467,2500
433.33333333333337,0.49,0.5283928109462471,-0.038392810946247136,-3.8392810946247136,2500
466.6666666666667,0.4768,0.5377936136531251,-0.060993613653125056,-6.099361365312506,2500
500.0,0.4576,0.5458242015344261,-0.08822420153442612,-8.82242015344261,2500
